unit_id,unit_type,borough,full_street_name,rw_type,eb_estimate,casualties_36mo,holdout_casualties,is_priority,treated
I23650,intersection,BRONX,E  FORDHAM RD & WEBSTER AVE,,18.784131949256878,21,14,True,True
I23637,intersection,MANHATTAN,BROADWAY & W  204 ST,,18.218613014145223,23,1,False,False
I1039,intersection,BRONX,DEVOE PARK PATH & UNIVERSITY AVE & W  FORDHAM RD,,15.115241276609119,18,7,True,True
I6538,intersection,MANHATTAN,LENOX AVE & W  125 ST,,15.018424199683349,20,5,True,True
I18192,intersection,MANHATTAN,FREDERICK DOUGLASS BLVD & W  145 ST,,13.902288896341638,16,2,True,False
I20506,intersection,QUEENS,108 ST & HORACE HARDING EXPY,,13.376806361751072,18,4,True,False
I24441,intersection,BROOKLYN,EASTERN PKWY & SCHENECTADY AVE,,13.375124804421194,16,9,True,True
I18538,intersection,BRONX,E  FORDHAM RD & JEROME AVE & W  FORDHAM RD,,12.805607674558853,14,7,True,False
I2760,intersection,BROOKLYN,EASTERN PKWY & UTICA AVE,,12.55883898678015,15,15,True,True
I28916,intersection,MANHATTAN,2 AVE & E  49 ST,,12.450016027561029,14,0,True,True
I2623,intersection,MANHATTAN,3 AVE & E  42 ST,,11.915423420721318,13,0,True,True
I18729,intersection,MANHATTAN,AVE OF THE AMERICAS & W  42 ST,,11.815745278924075,13,5,True,True
I11960,intersection,MANHATTAN,ADAM CLAYTON POWELL JR BLVD & W  145 ST,,11.670178919512622,15,7,True,True
I7298,intersection,BROOKLYN,AVE H & FLATBUSH AVE,,11.558427368131175,14,10,True,True
I11454,intersection,BROOKLYN,ROCKAWAY PKWY & RUTLAND RD,,10.921244762022916,12,2,True,True
I25809,intersection,MANHATTAN,2 AVE & E  58 ST,,10.545244156484713,12,8,True,True
I2875,intersection,BROOKLYN,FLATLANDS AVE & RALPH AVE,,10.370107315562697,11,8,True,True
I15253,intersection,BROOKLYN,STILLWELL AVE & SURF AVE,,10.088023116244184,11,1,True,True
I30258,intersection,BRONX,3 AVE & E  163 ST,,9.960544736778912,11,6,True,True
I13006,intersection,STATEN ISLAND,CLOVE RD & VICTORY BLVD,,9.931927885600597,13,0,True,True
I13572,intersection,MANHATTAN,FREDERICK DOUGLASS BLVD & W  125 ST,,9.659995301039622,11,2,True,True
I27779,intersection,BROOKLYN,CHURCH AVE & UTICA AVE,,9.64894074776804,12,7,True,True
I1279,intersection,BRONX,E  233 ST & WHITE PLAINS RD,,9.452476818183143,10,4,True,True
I8765,intersection,BRONX,UNIVERSITY AVE & W  KINGSBRIDGE RD,,9.293695716215977,11,4,True,True
I30754,intersection,MANHATTAN,DYCKMAN ST & SHERMAN AVE,,9.293695716215977,11,2,True,True
I15148,intersection,BRONX,SOUTHERN BLVD & WESTCHESTER AVE,,9.244870659208708,10,8,True,True
I125,intersection,QUEENS,BAISLEY BLVD & GUY R BREWER BLVD,,9.153301918562615,11,9,True,False
I13363,intersection,BRONX,E  FORDHAM RD & GRAND CONC,,9.082800630099502,12,4,True,True
I14841,intersection,BROOKLYN,ATLANTIC AVE & FLATBUSH AVE,,9.001985006774555,9,4,True,True
I5836,intersection,QUEENS,HILLSIDE AVE & PARSONS BLVD,,8.98815509618853,10,5,True,True
I60808,intersection,MANHATTAN,1 AVE & ALLEN ST,,8.987215971184868,10,5,True,True
I2301,intersection,MANHATTAN,E  116 ST & LEXINGTON AVE,,8.86987963264284,11,5,True,False
I2787,intersection,BRONX,E  161 ST & MELROSE AVE,,8.86987963264284,11,11,True,True
I8252,intersection,MANHATTAN,ADAM CLAYTON POWELL JR BLVD & W  125 ST,,8.86987963264284,11,3,True,True
I24675,intersection,BRONX,BROADWAY & W  231 ST,,8.86987963264284,11,2,True,False
I18809,intersection,MANHATTAN,DELANCEY ST & ESSEX ST,,8.811536581979219,10,10,True,True
I381,intersection,BROOKLYN,BROADWAY & JEFFERSON ST & MYRTLE AVE,,8.600070480720406,14,16,True,True
I780,intersection,BRONX,CLAREMONT PKWY & CLAY AVE & WEBSTER AVE,,8.59739538585405,9,3,False,True
I11647,intersection,MANHATTAN,3 AVE & E  116 ST,,8.548448464748489,9,3,True,True
I24100,intersection,BROOKLYN,AVE P & OCEAN AVE,,8.548448464748489,9,1,True,True
I28018,intersection,MANHATTAN,GRAND ST & PITT ST & SAMUEL DICKSTEIN PLZ,,8.548441062647363,11,0,False,True
I11373,intersection,BRONX,E  TREMONT AVE & RANDALL AVE,,8.477409898574933,10,1,True,False
I19167,intersection,BROOKLYN,EASTERN PKWY & TROY AVE,,8.477409898574933,10,5,True,True
I2090,intersection,BRONX,BAILEY AVE & W  KINGSBRIDGE RD,,8.363045274631466,9,5,True,True
I22996,intersection,QUEENS,COLLEGE POINT BLVD & ROOSEVELT AVE,,8.354686405371172,9,5,False,False
I2622,intersection,MANHATTAN,E  42 ST & LEXINGTON AVE,,8.172250927347381,10,3,True,True
I1817,intersection,STATEN ISLAND,FOREST AVE & WILLOW RD W,,8.152298106755323,9,2,True,True
I7426,intersection,MANHATTAN,ST NICHOLAS AVE & W  145 ST,,8.090818517517642,10,6,True,False
I19589,intersection,MANHATTAN,E  125 ST & LEXINGTON AVE,,8.090818517517642,10,4,True,True
I27005,intersection,MANHATTAN,ADAM CLAYTON POWELL JR BLVD & W  135 ST,,8.090818517517642,10,4,True,True
